,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Ai Weiwei: Never Sorry (2012),87.0,98%,Ai Weiwei: Never Sorry (2012),83,R (Some Language),Documentary,English,Alison Klayman,"Adam Schlesinger, Alison Klayman",Alison Klayman,"Jul 27, 2012 limited","Dec 4, 2012",$485.5K,1h 31m,IFC Films,,,
Rivers and Tides: Andy Goldsworthy Working With Time (2002),88.0,99%,Rivers and Tides: Andy Goldsworthy Working With Time (2002),71,,Documentary,English,Thomas Riedelsheimer,Annedore von Donop,,"Jan 2, 2003 wide","Sep 28, 2004",$2.2M,1h 30m,Roxie Releasing,,,
How to Survive a Plague (2012),89.0,98%,How to Survive a Plague (2012),80,,"Drama, History, Documentary, Lgbtq+",English,David France,"David France, Howard Gertler","Tyler H. Walk, David France, Todd Woody Richman","Sep 21, 2012 limited","Feb 26, 2013",$94.0K,1h 50m,IFC Films,,,
RBG (2018),90.0,93%,RBG (2018),181,PG (Some Thematic Elements|Language),Documentary,English,"Betsy West, Julie Cohen","Betsy West, Julie Cohen",,"May 25, 2018 wide","Aug 5, 2018",$14.0M,1h 37m,Magnolia Pictures,,,
This Is Not a Film (2012),91.0,97%,This Is Not a Film (2012),102,,Documentary,Persian,"Jafar Panahi, Mojtaba Mirtahmasb",Jafar Panahi,Jafar Panahi,"Mar 2, 2012 limited","Feb 26, 2013",$75.5K,1h 15m,Palisades Tartan,,,
When We Were Kings (1996),92.0,98%,When We Were Kings (1996),49,PG,Documentary,English,Leon Gast,"Taylor Hackford, Leon Gast",,"Feb 14, 1997 wide","Dec 9, 2002",$2.7M,1h 24m,"Image Entertainment Inc., Gramercy Pictures, Polygram",,,
The Painter and the Thief (2020),93.0,96%,The Painter and the Thief (2020),110,,Documentary,English,Benjamin Ree,Ingvil Giske,,"May 22, 2020 limited","May 22, 2020",,1h 42m,Neon,,,
March of the Penguins (2005),94.0,94%,March of the Penguins (2005),184,G,Documentary,English,Luc Jacquet,"Yves Darondeau, Christophe Lioud, Emmanuel Priou",Jordan Roberts,"Jun 24, 2005 original","Nov 29, 2005",$77.4M,1h 20m,"Warner Independent, National Geographic","Dolby SRD, DTS, SDDS",Flat (1.37:1),
Hitchcock/Truffaut (2015),95.0,96%,Hitchcock/Truffaut (2015),119,PG-13 (Violent Images|Suggestive Material),Documentary,English,Kent Jones,"Olivier Mille, Charles S. Cohen","Kent Jones, Serge Toubiana","Dec 2, 2015 limited","Dec 20, 2016",$304.9K,1h 20m,Cohen Media Group,,,
Kurt Cobain: Montage Of Heck (2015),96.0,97%,Kurt Cobain: Montage Of Heck (2015),94,,Documentary,English,Brett Morgen,"Brett Morgen, Danielle Renfew Behrens",Brett Morgen,"Apr 24, 2015 limited","Nov 13, 2015",,2h 12m,Universal Pictures,,,
Cave of Forgotten Dreams (2011),97.0,96%,Cave of Forgotten Dreams (2011),137,G,Documentary,English,Werner Herzog,,Werner Herzog,"Apr 29, 2011 limited","Nov 29, 2011",$5.2M,1h 30m,IFC Films,,,
The King of Kong: A Fistful of Quarters (2007),98.0,97%,The King of Kong: A Fistful of Quarters (2007),102,PG-13 (A Brief Sexual Reference),"Biography, Documentary",English,Seth Gordon,Ed Cunningham,Seth Gordon,"Aug 17, 2007 limited","Jan 29, 2008",$674.9K,1h 19m,Picturehouse,,,
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),99.0,96%,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara (2003),142,PG-13 (Thematic Issues),Documentary,English,Errol Morris,"Errol Morris, Michael Williams, Julie Ahlberg",,"Dec 26, 2003 wide","May 11, 2004",$4.2M,1h 45m,Sony Pictures Classics,,,
Bowling for Columbine (2002),100.0,95%,Bowling for Columbine (2002),173,R (Some Violent Images|Language),Documentary,English,Michael Moore,"Charles Bishop, Jim Czarnecki, Michael Donovan, Kathleen Glynn, Michael Moore",Michael Moore,"Oct 11, 2002 original","Aug 19, 2003",$21.2M,2h 0m,United Artists,"Surround, Dolby Stereo",,
