,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
The Hateful Eight (2015),36.0,74%,The Hateful Eight (2015),337,R (Some Graphic Nudity|Language|Strong Bloody Violence|Violent Sexual Content),Western,English,Quentin Tarantino,"Richard N. Gladstein, Stacey Sher, Shannon McIntosh",Quentin Tarantino,"Dec 30, 2015 wide","Mar 29, 2016",$54.1M,2h 48m,Weinstein Co.,"Datasat, Dolby",,
Near Dark (1987),37.0,81%,Near Dark (1987),68,R,"Horror, Western",English,Kathryn Bigelow,Steven-Charles Jaffe,"Kathryn Bigelow, Eric Red","Oct 2, 1987 original","Mar 7, 2006",$2.5M,1h 35m,"Anchor Bay Entertainment, Image Entertainment Inc., Paramount Pictures",Surround,,
The Homesman (2014),38.0,80%,The Homesman (2014),156,R (Sexual Content|Nudity|Some Disturbing Behavior|Violence),"Drama, Western",English,Tommy Lee Jones,"Peter Brant, Brian Kennedy, Luc Besson","Tommy Lee Jones, Kieran Fitzgerald, Wesley Oliver","Nov 14, 2014 limited","Feb 17, 2015",$2.4M,2h 2m,Roadside Attractions,,,
Open Range (2003),39.0,79%,Open Range (2003),184,R (Violence),"Drama, Western",English,Kevin Costner,"David Valdes, Kevin Costner, Jake Eberts","Craig Storper, Lauran Paine","Aug 15, 2003 wide","Jun 4, 2006",$58.3M,2h 18m,Touchstone Pictures,Surround,Scope (2.35:1),
Shanghai Noon (2000),40.0,79%,Shanghai Noon (2000),135,PG-13 (Sensuality|Drug Content|Violence),"Adventure, Comedy, Action, Western",English,Tom Dey,"Gary Barber, Roger Birnbaum, Jonathan Glickman","Miles Millar, Alfred Gough","May 26, 2000 wide","Jan 25, 2005",$56.9M,1h 50m,"Touchstone Pictures, Buena Vista Pictures","Dolby Stereo, DTS, SDDS, Surround, Dolby Digital, Dolby SR",Scope (2.35:1),
"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom) (2010)",41.0,82%,"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom) (2010)",66,R (Some Drug Use|Nonstop Violence),"Action, Western",Japanese,Kim Jee-woon,Choi Jae-won,"Kim Jee-woon, Kim Min-suk","Apr 23, 2010 limited","Aug 17, 2010",$128.5K,2h 7m,IFC Films,,,
Appaloosa (2008),42.0,76%,Appaloosa (2008),164,R (Some Violence|Language),"Drama, Western",English,Ed Harris,"Ed Harris, Ginger Sledge, Robert Knott","Robert Knott, Ed Harris","Oct 3, 2008 wide","Jan 13, 2009",$20.2M,1h 56m,Warner Bros.,,,
The Assassination of Jesse James by the Coward Robert Ford (2007),43.0,76%,The Assassination of Jesse James by the Coward Robert Ford (2007),176,R (Some Strong Violence|Brief Sexual References),"Drama, History, Western",English,Andrew Dominik,"Ridley Scott, Jules Daly, Brad Pitt, David Valdes, Dede Gardner",Andrew Dominik,"Sep 21, 2007 limited","Feb 5, 2008",$3.9M,2h 40m,Warner Bros.,"SDDS, Dolby Digital, DTS",,
Red Hill (2010),44.0,79%,Red Hill (2010),68,R (Strong Bloody Violence|Language),"Mystery & thriller, Action",English,Patrick Hughes,,Patrick Hughes,,"Jan 25, 2011",$21.0K,1h 35m,,,,
Hostiles (2018),45.0,71%,Hostiles (2018),225,R (Strong Violence|Language),"Drama, History, Western",English,Scott Cooper,"Scott Cooper, John Lesher, Ken Kao",Scott Cooper,"Jan 26, 2018 wide","Apr 24, 2018",$29.8M,2h 13m,Entertainment Studios Motion Pictures,Dolby Digital,Scope (2.35:1),
The Ballad of Little Jo (1993),46.0,76%,The Ballad of Little Jo (1993),50,R,"Drama, History",English,Maggie Greenwald,"Fred Berner, Brenda Goodman",,,"Mar 29, 2011",$459.3K,2h 4m,,"Surround, Stereo",,
In a Valley of Violence (2016),47.0,77%,In a Valley of Violence (2016),69,R (Violence and Language),Western,English,Ti West,"Jason Blum, Jacob Jaffke, Peter Phok",Ti West,"Oct 21, 2016 limited","Dec 27, 2016",$50.4K,1h 44m,Focus World,,,
Tombstone (1993),48.0,74%,Tombstone (1993),46,R,"Action, Western",English,George P. Cosmatos,"Sean Daniel, James Jacks, Bob Misiorowski",Kevin Jarre,"Dec 25, 1993 wide","Dec 1, 1998",$55.9M,2h 7m,"Buena Vista Pictures, Hollywood Pictures","Surround, Stereo",,
Blackthorn (2011),49.0,75%,Blackthorn (2011),75,R (Violence|Language),"Adventure, Action, Western",English,Mateo Gil,"Andres Santana, Ibón Cormenzana",Miguel Barros,"Oct 7, 2011 limited","Dec 20, 2011",$199.7K,1h 38m,Magnolia Pictures,,,
