,Rank,RatingTomatometer,Title,No. of Reviews,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Distributor,Sound Mix,Aspect Ratio,View the collection
Transit (2019),79.0,94%,Transit (2019),180,,"History, Drama",German,Christian Petzold,"Florian Koerner von Gustorf, Antonin Dedet",Christian Petzold,"Mar 1, 2019 limited","Jun 27, 2019",$815.3K,1h 41m,Music Box Films,,IMAX (Scope (2.35:1)),
The Vanishing (Spoorloos) (1988),80.0,98%,The Vanishing (Spoorloos) (1988),49,,Mystery & thriller,Dutch,George Sluizer,"Anne Gordon, George Sluizer",,,"Apr 1, 2014",,1h 46m,,,,
Masculin Feminin (1966),81.0,96%,Masculin Feminin (1966),45,,Romance,French (Canada),Jean-Luc Godard,Anatole Dauman,"Guy de Maupassant, Jean-Luc Godard","Mar 22, 1966 original","Sep 20, 2005",$199.9K,1h 43m,"Rialto Pictures, Royal Films International",Mono,"35mm, Flat (1.37:1)",
Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),82.0,93%,Elevator to the Gallows (Ascenseur pour l'échafaud) (1958),58,,Mystery & thriller,French (France),Louis Malle,Jean Thuillier,"Noël Calef, Louis Malle, Roger Nimier, Roger Nimier","Jun 10, 1958 original","Apr 25, 2006",$104.8K,1h 30m,"New Yorker Films, Times Film Corporation",Mono,,
Three Colors: Blue (Trois Couleurs: Bleu) (1993),83.0,98%,Three Colors: Blue (Trois Couleurs: Bleu) (1993),46,R,Drama,French (Canada),Krzysztof Kieslowski,Marin Karmitz,,"Dec 3, 1993 original","Mar 4, 2003",$539.2K,1h 37m,,Surround,,
Monsieur Lazhar (2012),84.0,97%,Monsieur Lazhar (2012),119,PG-13 (Mature Thematic Material|Brief Language|A Disturbing Image),Drama,French (Canada),Philippe Falardeau,"Luc Déry, Kim McCraw",Philippe Falardeau,"Apr 13, 2012 limited","Aug 28, 2012",$2.0M,1h 34m,Music Box Films,,,
About Elly (2015),85.0,99%,About Elly (2015),70,,"Drama, Mystery & thriller",Persian,Asghar Farhadi,"Asghar Farhadi, Simaye Mehr, Mahmoud Razavi","Asghar Farhadi, Azad Jafarian",,"Aug 25, 2015",$106.7K,1h 59m,,,,
Fireworks Wednesday (Chaharshanbe-soori) (2016),86.0,100%,Fireworks Wednesday (Chaharshanbe-soori) (2016),45,,Drama,Persian,Asghar Farhadi,,"Asghar Farhadi, Mani Haghighi",,"Apr 22, 2008",,1h 44m,,,,
Last Train Home (2010),87.0,100%,Last Train Home (2010),55,,Documentary,Chinese,Lixin Fan,"Mila Aung-Thwin, Daniel Cross",,"Sep 3, 2010 original","Feb 22, 2011",$285.8K,1h 25m,,,,
The Class (2008),88.0,95%,The Class (2008),161,PG-13 (Language),Drama,French (France),Laurent Cantet,"Barbara Letellier, Caroline Benjo, Carole Scotta, Simon Arnal","François Bégaudeau, Robin Campillo, Laurent Cantet","Dec 19, 2008 limited","Aug 11, 2009",$3.8M,2h 9m,Sony Pictures Classics,,,
